국가,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수
핀란드🇫🇮,139405,92343,21,1062,46000,0.8,33.0,25209,5540720
짐바브웨🇿🇼,129505,2774,12,4603,122128,3.6,94.3,8721,14862924
몬테네그로🇲🇪,129285,7803,11,1892,119590,1.5,92.5,206424,628066
나미비아🇳🇦,127227,1045,16,3492,122690,2.7,96.4,50085,2540905
가나🇬🇭,126621,3597,42,1146,121878,0.9,96.3,4075,31072940
우간다🇺🇬,123181,24009,350,3145,96027,2.6,78.0,2694,45741007
키프로스🇨🇾,117967,26660,39,552,90755,0.5,76.9,97771,1207359
캄보디아🇰🇭,109087,6189,N/A,2243,100655,2.1,92.3,6575,16718965
코소보🇽🇰,107507,-85,N/A,2269,105323,2.1,98.0,59381,1810463
엘살바도르🇸🇻,102024,13858,127,3185,84981,3.1,83.3,15729,6486205
호주🇦🇺,97550,21538,301,1231,74781,1.3,76.7,3884,25499884
르완다🇷🇼,96727,50020,11,1248,45459,1.3,47.0,7477,12952218
중국🇨🇳,96015,1013,N/A,4636,90366,4.8,94.1,67,1439323776
싱가포르🇸🇬,85953,11742,23,76,74135,0.1,86.3,15023,5850342
카메룬🇨🇲,85414,3613,152,1368,80433,1.6,94.2,3218,26545863
몰디브🇲🇻,84290,1627,23,231,82432,0.3,97.8,156069,540544
자메이카🇯🇲,82349,28654,31,1824,51871,2.2,63.0,27955,2961167
룩셈부르크🇱🇺,77762,1162,8,835,75765,1.1,97.4,124225,625978
세네갈🇸🇳,73742,405,8,1855,71482,2.5,96.9,4404,16743927
말라위🇲🇼,61497,4748,67,2275,54474,3.7,88.6,3215,19129952
코트디부아르🇨🇮,59778,1903,N/A,593,57282,1.0,95.8,2270,26378274
콩고민주공화국🇨🇩,56617,24676,N/A,1083,30858,1.9,54.5,632,89561403
앙골라🇦🇴,54795,6114,8,1487,47194,2.7,86.1,1677,32866272
레위니옹🇷🇪,53241,868,33,363,52010,0.7,97.7,59466,895312
과들루프🇬🇵,53140,50200,23,690,2250,1.3,4.2,132809,400124
피지🇫🇯,50755,13458,39,590,36707,1.2,72.3,56618,896445
트리니다드 토바고🇹🇹,49822,4305,22,1451,44066,2.9,88.4,35691,1399488
에스와티니🇸🇿,45742,726,10,1212,43804,2.6,95.8,39451,1160164
마다가스카르🇲🇬,42898,618,3,958,41322,2.2,96.3,1549,27691018
마르티니크🇲🇶,40545,39859,1,582,104,1.4,0.3,108044,375265
프랑스령 폴리네시아🇵🇫,40178,6067,30,611,33500,1.5,83.4,143029,280908
수리남🇸🇷,39908,12199,19,845,26864,2.1,67.3,68029,586632
프랑스령 기아나🇬🇫,39790,29539,34,256,9995,0.6,25.1,133219,298682
수단🇸🇩,38201,3269,N/A,2894,32038,7.6,83.9,871,43849260
카보베르데🇨🇻,37400,690,23,334,36376,0.9,97.3,67354,555987
몰타 공화국🇲🇹,37090,817,4,457,35816,1.2,96.6,84030,441543
모리타니🇲🇷,35819,841,22,768,34210,2.1,95.5,7712,4649658
시리아🇸🇾,32580,6924,N/A,2198,23458,6.7,72.0,1884,17500658
가이아나🇬🇾,30907,3907,33,754,26246,2.4,84.9,39601,786552
기니🇬🇳,30348,1268,24,377,28703,1.2,94.6,2312,13132795
가봉🇬🇦,29126,2407,23,178,26541,0.6,91.1,13086,2225734
토고🇹🇬,25163,2914,N/A,222,22027,0.9,87.5,3046,8278724
베냉🇧🇯,22958,5510,5,154,17294,0.7,75.3,1894,12123200
라오스🇱🇦,21819,16235,N/A,16,5568,0.1,25.5,3084,7275560
아이티🇭🇹,21540,1582,N/A,610,19348,2.8,89.8,1889,11402528
세이셸🇸🇨,21257,485,N/A,115,20657,0.5,97.2,216143,98347
바하마🇧🇸,20603,1816,15,522,18265,2.5,88.7,52392,393244
마요트🇾🇹,20219,17077,N/A,178,2964,0.9,14.7,74112,272815
소말리아🇸🇴,19723,9206,N/A,1103,9414,5.6,47.7,1241,15893222
벨리즈🇧🇿,19600,1951,10,402,17247,2.1,88.0,49292,397628
동티모르🇹🇱,19382,994,N/A,113,18275,0.6,94.3,14713,1318445
