국가,국가코드,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수,Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
에스토니아,🇪🇪,153536,9811,20,1344,142381,0.9,92.7,116036,1326535,Estonia,1354438,51.1,56.8,45.1,3470
모잠비크,🇲🇿,150494,2093,32,1909,146492,1.3,97.3,4816,31255435,Mozambique,3644423,5.8,6.1,5.6,54234
핀란드,🇫🇮,139405,92343,21,1062,46000,0.8,33,25209,5540720,Finland,7490200,67.9,74.7,61.1,18753
짐바브웨,🇿🇼,129505,2774,12,4603,122128,3.6,94.3,8721,14862924,Zimbabwe,5197363,17.4,20.3,14.6,30878
몬테네그로,🇲🇪,129285,7803,11,1892,119590,1.5,92.5,206424,628066,Montenegro,446806,35.9,38,33.5,1934
나미비아,🇳🇦,127227,1045,16,3492,122690,2.7,96.4,50085,2540905,Namibia,407502,8.3,10.1,6.5,4761
가나,🇬🇭,126621,3597,42,1146,121878,0.9,96.3,4075,31072940,Ghana,1643172,2.7,2.9,2.5,6287
우간다,🇺🇬,123181,24009,350,3145,96027,2.6,78,2694,45741007,Uganda,2058553,2.6,4.1,1,79469
키프로스,🇨🇾,117967,26660,39,552,90755,0.5,76.9,97771,1207359,Cyprus,1146345,65.4,67.7,62.5,2360
캄보디아,🇰🇭,109087,6189,,2243,100655,2.1,92.3,6575,16718965,Cambodia,23538405,71.4,78.5,65.3,249400
코소보,🇽🇰,107507,-85,,2269,105323,2.1,98,59381,1810463,Kosovo,1241949,34.5,42.1,26.9,16129
엘살바도르,🇸🇻,102024,13858,127,3185,84981,3.1,83.3,15729,6486205,El Salvador,7297994,56.5,62.1,51,38185
호주,🇦🇺,97550,21538,301,1231,74781,1.3,76.7,3884,25499884,Australia,26441588,51.8,61.8,40.6,292736
르완다,🇷🇼,96727,50020,11,1248,45459,1.3,47,7477,12952218,Rwanda,3409470,13.7,15.9,11.6,45063
중국,🇨🇳,96015,1013,,4636,90366,4.8,94.1,67,1439323776,Mainland China,2194467000,78.4,78.6,73,3492857
싱가포르,🇸🇬,85953,11742,23,76,74135,0.1,86.3,15023,5850342,Singapore,9223226,80.8,81.9,80,18356
카메룬,🇨🇲,85414,3613,152,1368,80433,1.6,94.2,3218,26545863,Cameroon,459397,0.9,1.5,0.3,2000
몰디브,🇲🇻,84290,1627,23,231,82432,0.3,97.8,156069,540544,Maldives,724971,97.4,105.2,89.7,902
자메이카,🇯🇲,82349,28654,31,1824,51871,2.2,63,27955,2961167,Jamaica,715860,13.1,19,8.1,1624
룩셈부르크,🇱🇺,77762,1162,8,835,75765,1.1,97.4,124225,625978,Luxembourg,781851,63.7,67.5,65.1,355
세네갈,🇸🇳,73742,405,8,1855,71482,2.5,96.9,4404,16743927,Senegal,1784832,5.5,7.6,3.5,2395
말라위,🇲🇼,61497,4748,67,2275,54474,3.7,88.6,3215,19129952,Malawi,1061153,2.6,3.8,2.4,9131
코트디부아르,🇨🇮,59778,1903,,593,57282,1,95.8,2270,26378274,Ivory Coast,1903064,3.6,5.4,1.3,26199
콩고민주공화국,🇨🇩,56617,24676,,1083,30858,1.9,54.5,632,89561403,DR Congo,134860,0.1,0.1,0.1,1468
앙골라,🇦🇴,54795,6114,8,1487,47194,2.7,86.1,1677,32866272,Angola,2820134,4.7,6.1,3.3,50114
피지,🇫🇯,50755,13458,39,590,36707,1.2,72.3,56618,896445,Fiji,975268,54.5,65.7,43.3,9017
트리니다드 토바고,🇹🇹,49822,4305,22,1451,44066,2.9,88.4,35691,1399488,Trinidad and Tobago,1041836,37.3,40.6,34.1,3478
에스와티니,🇸🇿,45742,726,10,1212,43804,2.6,95.8,39451,1160164,Eswatini,239551,10.7,18.5,17.9,2866
마다가스카르,🇲🇬,42898,618,3,958,41322,2.2,96.3,1549,27691018,Madagascar,381633,0.7,0.7,0.7,7039
수리남,🇸🇷,39908,12199,19,845,26864,2.1,67.3,68029,586632,Suriname,390681,32.7,37.5,27.9,2011
수단,🇸🇩,38201,3269,,2894,32038,7.6,83.9,871,43849260,Sudan,1499982,1.7,1.5,1.3,19164
카보베르데,🇨🇻,37400,690,23,334,36376,0.9,97.3,67354,555987,Cape Verde,402075,36.6,51.3,21.8,4586
몰타 공화국,🇲🇹,37090,817,4,457,35816,1.2,96.6,84030,441543,Malta,816136,82.6,85,85,708
모리타니,🇲🇷,35819,841,22,768,34210,2.1,95.5,7712,4649658,Mauritania,876371,10.8,7.8,0.5,2775
가이아나,🇬🇾,30907,3907,33,754,26246,2.4,84.9,39601,786552,Guyana,533843,34,44.8,23.2,2597
기니,🇬🇳,30348,1268,24,377,28703,1.2,94.6,2312,13132795,Guinea,1554669,5.7,7.8,3.6,30891
가봉,🇬🇦,29126,2407,23,178,26541,0.6,91.1,13086,2225734,Gabon,177392,4.3,4.9,3.7,1949
토고,🇹🇬,25163,2914,,222,22027,0.9,87.5,3046,8278724,Togo,832822,5.2,5.5,4.8,12920
베냉,🇧🇯,22958,5510,5,154,17294,0.7,75.3,1894,12123200,Benin,214396,0.9,1.3,0.2,5496
라오스,🇱🇦,21819,16235,,16,5568,0.1,25.5,3084,7275560,Laos,4402770,30.7,39.1,26.7,9906
